season,week,n_samples,rank_stability,rank_most_frequent,percentage_stability,percentage_most_frequent,stability_difference,season_week
30,4,1000,0.544,Brian Austin Green_S30,0.756,Cody Rigsby_S30,0.21199999999999997,30-4
30,5,1000,0.999,Cody Rigsby_S30,0.986,Melanie C_S30,-0.013000000000000012,30-5
30,6,1000,1.0,Kenya Moore_S30,0.952,Kenya Moore_S30,-0.04800000000000004,30-6
30,7,1000,1.0,"Mike ""The Miz"" Mizanin_S30",0.872,"Mike ""The Miz"" Mizanin_S30",-0.128,30-7
30,8,1000,0.969,Jimmie Allen_S30,0.666,Jimmie Allen_S30,-0.30299999999999994,30-8
30,9,1000,1.0,Cody Rigsby_S30,0.972,Cody Rigsby_S30,-0.028000000000000025,30-9
30,10,1000,1.0,Amanda Kloots_S30,0.718,Amanda Kloots_S30,-0.28200000000000003,30-10
31,1,1000,1.0,Jason Lewis_S31,1.0,Jason Lewis_S31,0.0,31-1
31,2,1000,0.972,Teresa Giudice_S31,1.0,Teresa Giudice_S31,0.028000000000000025,31-2
31,3,1000,1.0,Cheryl Ladd_S31,0.999,Cheryl Ladd_S31,-0.0010000000000000009,31-3
31,4,1000,1.0,Sam Champion_S31,1.0,Sam Champion_S31,0.0,31-4
31,5,1000,0.946,Joseph Baena_S31,1.0,Joseph Baena_S31,0.05400000000000005,31-5
31,6,1000,1.0,Jessie James Decker_S31,0.974,Jessie James Decker_S31,-0.026000000000000023,31-6
31,7,1000,1.0,Jordin Sparks_S31,0.914,Jordin Sparks_S31,-0.08599999999999997,31-7
31,8,1000,0.954,Vinny Guadagnino_S31,0.999,Vinny Guadagnino_S31,0.04500000000000004,31-8
31,9,1000,0.679,Trevor Donovan_S31,0.716,Trevor Donovan_S31,0.03699999999999992,31-9
31,10,1000,1.0,Shangela_S31,1.0,Shangela_S31,0.0,31-10
32,1,1000,1.0,Matt Walsh_S32,1.0,Matt Walsh_S32,0.0,32-1
32,2,1000,0.957,Jamie Lynn Spears_S32,1.0,Jamie Lynn Spears_S32,0.04300000000000004,32-2
32,3,1000,1.0,Tyson Beckford_S32,1.0,Tyson Beckford_S32,0.0,32-3
32,4,1000,0.676,Adrian Peterson_S32,0.994,Adrian Peterson_S32,0.31799999999999995,32-4
32,5,1000,0.924,Mira Sorvino_S32,0.958,Mira Sorvino_S32,0.03399999999999992,32-5
32,6,1000,0.882,Mauricio Umansky_S32,1.0,Mauricio Umansky_S32,0.118,32-6
32,7,1000,0.502,Harry Jowsey_S32,1.0,Lele Pons_S32,0.498,32-7
32,8,1000,0.872,Barry Williams_S32,0.874,Barry Williams_S32,0.0020000000000000018,32-8
32,9,1000,0.995,Harry Jowsey_S32,1.0,Harry Jowsey_S32,0.0050000000000000044,32-9
32,10,1000,0.677,Alyson Hannigan_S32,0.913,Alyson Hannigan_S32,0.236,32-10
32,11,1000,0.987,Alyson Hannigan_S32,0.918,Charity Lawson_S32,-0.06899999999999995,32-11
33,1,1000,0.37,Eric Roberts_S33,1.0,Anna Delvey_S33,0.63,33-1
33,2,1000,1.0,Anna Delvey_S33,1.0,Anna Delvey_S33,0.0,33-2
33,3,1000,1.0,Reginald VelJohnson_S33,1.0,Reginald VelJohnson_S33,0.0,33-3
33,4,1000,0.717,Brooks Nader_S33,0.999,Brooks Nader_S33,0.28200000000000003,33-4
33,5,1000,1.0,Phaedra Parks_S33,1.0,Phaedra Parks_S33,0.0,33-5
33,6,1000,0.49,Jenn Tran_S33,1.0,Jenn Tran_S33,0.51,33-6
33,7,1000,0.952,Dwight Howard _S33,0.987,Dwight Howard _S33,0.03500000000000003,33-7
33,8,1000,0.486,Stephen Nedoroscik_S33,0.542,Stephen Nedoroscik_S33,0.05600000000000005,33-8
33,9,1000,1.0,Danny Amendola_S33,0.998,Chandler Kinney_S33,-0.0020000000000000018,33-9
34,1,1000,0.96,Andy Richter_S34,0.961,Andy Richter_S34,0.0010000000000000009,34-1
34,2,1000,0.633,Corey Feldman_S34,0.862,Corey Feldman_S34,0.22899999999999998,34-2
34,3,1000,0.999,Lauren Jauregui_S34,0.855,Lauren Jauregui_S34,-0.14400000000000002,34-3
34,4,1000,0.529,Andy Richter_S34,1.0,Hilaria Baldwin_S34,0.471,34-4
34,5,1000,0.991,Andy Richter_S34,0.993,Andy Richter_S34,0.0020000000000000018,34-5
34,6,1000,0.59,Scott Hoying_S34,0.981,Scott Hoying_S34,0.391,34-6
34,7,1000,0.644,Andy Richter_S34,0.899,Jen Affleck_S34,0.255,34-7
34,8,1000,0.875,Danielle Fishel_S34,0.936,Danielle Fishel_S34,0.061000000000000054,34-8
34,9,1000,0.999,Andy Richter_S34,0.994,Andy Richter_S34,-0.0050000000000000044,34-9
34,10,1000,0.803,Dylan Efron_S34,0.999,Whitney Leavitt_S34,0.19599999999999995,34-10
34,11,1000,1.0,Dylan Efron_S34,0.619,Dylan Efron_S34,-0.381,34-11
