celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,is_withdrew,contestant_id
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,Eliminated Week 9,4,false,Nastia Liukin_S20
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,Eliminated Week 4,10,false,Michael Sam_S20
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,Eliminated Week 8,6,false,Robert Herjavec_S20
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,Eliminated Week 3,11,false,Charlotte McKinney_S20
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3rd Place,3,false,Noah Galloway_S20
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,Eliminated Week 2,12,false,Redfoo_S20
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,Eliminated Week 6,8,false,Patti LaBelle_S20
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,Eliminated Week 8,5,false,Chris Soules_S20
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,false,Gary Busey_S21
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,Eliminated Week 9,6,false,Alexa PenaVega_S21
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,Eliminated Week 11,4,false,Carlos PenaVega_S21
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,Eliminated Week 2,12,false,Victor Espinoza_S21
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3rd Place,3,false,Alek Skarlatos_S21
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,Eliminated Week 2,13,false,Chaka Khan_S21
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,false,Andy Grammer_S21
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,Withdrew,5,true,Tamar Braxton_S21
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2nd Place,2,false,Nick Carter_S21
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,Eliminated Week 7,8,false,Hayes Grier_S21
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1st Place,1,false,Bindi Irwin_S21
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,Withdrew,11,true,Kim Zolciak-Biermann_S21
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,Eliminated Week 6,9,false,Paula Deen_S21
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,Eliminated Week 3,11,false,Mischa Barton_S22
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,Eliminated Week 7,8,false,Kim Fields_S22
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,Eliminated Week 8,6,false,Jodie Sweetin_S22
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,Eliminated Week 6,9,false,Doug Flutie_S22
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,Eliminated Week 7,7,false,Von Miller_S22
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,Eliminated Week 9,5,false,Antonio Brown_S22
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2nd Place,2,false,Paige VanZant_S22
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,Eliminated Week 2,12,false,Geraldo Rivera_S22
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1st Place,1,false,Nyle DiMarco_S22
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3rd Place,3,false,Ginger Zee_S22
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,Eliminated Week 9,4,false,Wanya Morris_S22
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,Eliminated Week 4,10,false,Marla Maples_S22
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,Eliminated Week 2,13,false,Jake T. Austin_S23
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,Eliminated Week 7,8,false,Maureen McCormick_S23
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,Eliminated Week 9,6,false,Marilu Henner_S23
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,Eliminated Week 8,7,false,Ryan Lochte_S23
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3rd Place,3,false,Calvin Johnson Jr._S23
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1st Place,1,false,Laurie Hernandez_S23
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,Eliminated Week 6,9,false,Amber Rose_S23
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,Eliminated Week 3,12,false,Rick Perry_S23
James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,23,2nd Place,2,false,James Hinchcliffe_S23
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,Eliminated Week 4,11,false,Babyface_S23
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,Eliminated Week 4,10,false,Vanilla Ice_S23
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,Eliminated Week 11,4,false,Jana Kramer_S23
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,Eliminated Week 10,5,false,Terra Jole_S23
Charo,Keo Motsepe,Actor/Actress,,Spain,66,24,Eliminated Week 3,11,false,Charo_S24
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,Eliminated Week 4,10,false,Mr. T_S24
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,Eliminated Week 6,8,false,Heather Morris_S24
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,Eliminated Week 7,7,false,Nancy Kerrigan_S24
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,Eliminated Week 8,5,false,Bonner Bolton_S24
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,Eliminated Week 9,4,false,Simone Biles_S24
David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,24,2nd Place,2,false,David Ross_S24
Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,24,1st Place,1,false,Rashad Jennings_S24
Chris Kattan,Witney Carson,Comedian,California,United States,46,24,Eliminated Week 2,12,false,Chris Kattan_S24
Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,24,Eliminated Week 5,9,false,Erika Jayne_S24
Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,24,3rd Place,3,false,Normani_S24
Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,24,Eliminated Week 7,6,false,Nick Viall_S24
Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,25,Eliminated Week 5,10,false,Sasha Pieterse_S25
Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,25,3rd Place,3,false,Frankie Muniz_S25
Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,25,1st Place,1,false,Jordan Fisher_S25
Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,25,Eliminated Week 4,11,false,Derek Fisher_S25
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,Eliminated Week 7,8,false,Nikki Bella_S25
Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,25,Eliminated Week 8,6,false,Terrell Owens_S25
Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,25,Eliminated Week 9,5,false,Victoria Arlen_S25
Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,25,Eliminated Week 2,13,false,Barbara Corcoran_S25
Lindsey Stirling,Mark Ballas,Musician,California,United States,31,25,2nd Place,2,false,Lindsey Stirling_S25
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,Eliminated Week 2,12,false,Debbie Gibson_S25
Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,25,Eliminated Week 6,9,false,Nick Lachey_S25
Drew Scott,Emma Slater,TV Personality,,Canada,39,25,Eliminated Week 10,4,false,Drew Scott_S25
Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,25,Eliminated Week 7,7,false,Vanessa Lachey_S25
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,Eliminated Week 1,10,false,Jamie Anderson_S26
Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,26,Eliminated Week 1,9,false,Johnny Damon_S26
Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,26,Eliminated Week 2,8,false,Kareem Abdul-Jabbar_S26
Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,26,Eliminated Week 2,7,false,Arike Ogunbowale_S26
Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,26,Eliminated Week 3,6,false,Jennie Finch Daigle_S26
Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,26,Eliminated Week 3,5,false,Chris Mazdzer_S26
Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,26,Eliminated Week 3,4,false,Mirai Nagasu_S26
Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,26,3rd Place,3,false,Tonya Harding_S26
Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,26,2nd Place,2,false,Josh Norman_S26
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,26,1st Place,1,false,Adam Rippon_S26
Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,27,Eliminated Week 8,5,false,Juan Pablo Di Pace_S27
Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,27,3rd Place,3,false,Evanna Lynch_S27
Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,27,Eliminated Week 3,11,false,Nancy McKeon_S27
John Schneider,Emma Slater,Actor/Actress,New York,United States,58,27,Eliminated Week 7,8,false,John Schneider_S27
Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,27,2nd Place,2,false,Milo Manheim_S27
Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,27,Eliminated Week 2,12,false,Danelle Umstead_S27
Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,27,Eliminated Week 6,9,false,Mary Lou Retton_S27
DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,27,Eliminated Week 7,7,false,DeMarcus Ware_S27
Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,27,Eliminated Week 1,13,false,Nikki Glaser_S27
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,27,1st Place,1,false,Bobby Bones_S27
Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,27,Eliminated Week 4,10,false,Tinashe_S27
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,27,4th Place,4,false,Alexis Ren_S27
Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,27,Eliminated Week 8,6,false,Joe Amabile_S27
Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,28,Eliminated Week 8,7,false,Kate Flannery_S28
James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,28,Eliminated Week 10,5,false,James Van Der Beek_S28
Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,28,2nd Place,2,false,Kel Mitchell_S28
Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,28,Withdrew,11,true,Ray Lewis_S28
Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,28,Eliminated Week 4,10,false,Lamar Odom_S28
Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,28,Eliminated Week 6,9,false,Sailor Brinkley-Cook_S28
Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,28,Eliminated Week 9,6,false,Sean Spicer_S28
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,Eliminated Week 2,12,false,Mary Wilson_S28
Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,28,4th Place,4,false,Lauren Alaina_S28
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,28,3rd Place,3,false,Ally Brooke_S28
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,Eliminated Week 7,8,false,Karamo Brown_S28
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,false,Hannah Brown_S28
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,Eliminated Week 4,13,false,Anne Heche_S29
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,Eliminated Week 5,12,false,Jesse Metcalfe_S29
Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,29,Eliminated Week 8,8,false,Chrishell Stause_S29
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,Eliminated Week 10,5,false,Skai Jackson_S29
Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,29,4th Place,4,false,Justina Machado_S29
Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,29,Eliminated Week 2,15,false,Charles Oakley_S29
Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,29,Eliminated Week 6,11,false,Veron Davis_S29
Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,29,Eliminated Week 10,6,false,Johnny Weir_S29
Nev Schulman,Jenna Johnson,Producer,New York,United States,35,29,2nd Place,2,false,Nev Schulman_S29
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,29,Eliminated Week 9,7,false,AJ McLean_S29
Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,29,3rd Place,3,false,Nelly_S29
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,29,1st Place,1,false,Kaitlyn Bristowe_S29
Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,29,Eliminated Week 3,14,false,Carole Baskin_S29
Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,29,Eliminated Week 7,10,false,Monica Aldama_S29
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,true,Jeannie Mai_S29
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,false,Martin Kove_S30
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,Eliminated Week 4,13,false,Brian Austin Green_S30
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,false,Melora Hardin_S30
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,Eliminated Week 4,12,false,Matt James_S30
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,Eliminated Week 7,9,false,"Mike ""The Miz"" Mizanin_S30"
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,Eliminated Week 9,5,false,Suni Lee_S30
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1st Place,1,false,Iman Shumpert_S30
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3rd Place,3,false,Cody Rigsby_S30
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,Eliminated Week 5,11,false,Melanie C_S30
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,Eliminated Week 8,7,false,Jimmie Allen_S30
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,Eliminated Week 8,8,false,Olivia Jade_S30
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2nd Place,2,false,JoJo Siwa_S30
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,Eliminated Week 3,14,false,Christine Chiu_S30
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,false,Kenya Moore_S30
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,false,Amanda Kloots_S30
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,Eliminated Week 1,16,false,Jason Lewis_S31
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,Eliminated Week 3,14,false,Cheryl Ladd_S31
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,Withdrew,12,true,Selma Blair_S31
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,Eliminated Week 5,11,false,Joseph Baena_S31
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,Eliminated Week 9,6,false,Trevor Donovan_S31
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,false,Daniel Durant_S31
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3rd Place,3,false,Wayne Brady_S31
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,Eliminated Week 4,13,false,Sam Champion_S31
Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,31,Eliminated Week 6,10,false,Jessie James Decker_S31
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,Eliminated Week 7,9,false,Jordin Sparks_S31
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,Eliminated Week 8,8,false,Heidi D'Amelio_S31
Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,31,1st Place,1,false,Charli D'Amelio_S31
Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,31,Eliminated Week 2,15,false,Teresa Giudice_S31
Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,31,Eliminated Week 8,7,false,Vinny Guadagnino_S31
Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,31,4th Place,4,false,Shangela_S31
Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,31,2nd Place,2,false,Gabby Windey_S31
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,Eliminated Week 2,13,false,Jamie Lynn Spears_S32
Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,32,Eliminated Week 5,10,false,Mira Sorvino_S32
Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,32,Eliminated Week 8,7,false,Barry Williams_S32
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,32,5th Place,5,false,Alyson Hannigan_S32
Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,32,1st Place,1,false,Xochitl Gomez_S32
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,Eliminated Week 4,11,false,Adrian Peterson_S32
Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,32,Eliminated Week 1,14,false,Matt Walsh_S32
Tyson Beckford,Jenna Johnson,Model,New York,United States,52,32,Eliminated Week 3,12,false,Tyson Beckford_S32
Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,32,2nd Place,2,false,Jason Mraz_S32
Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,32,Eliminated Week 7,8,false,Lele Pons_S32
Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,32,Eliminated Week 9,6,false,Harry Jowsey_S32
Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,32,Eliminated Week 6,9,false,Mauricio Umansky_S32
Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,32,4th Place,4,false,Charity Lawson_S32
Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,32,3rd Place,3,false,Ariana Madix_S32
Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,33,Eliminated Week 2,12,false,Tori Spelling_S33
Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,33,Eliminated Week 3,10,false,Eric Roberts_S33
Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,33,Eliminated Week 3,10,false,Reginald VelJohnson_S33
Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,33,3rd Place,3,false,Chandler Kinney_S33
Dwight Howard ,Daniella Karagach,Athlete,Georgia,United States,38,33,Eliminated Week 7,6,false,Dwight Howard _S33
Danny Amendola,Witney Carson,Athlete,Texas,United States,39,33,5th Place,5,false,Danny Amendola_S33
Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,33,4th Place,4,false,Stephen Nedoroscik_S33
Ilona Maher,Alan Bersten,Athlete,California,United States,28,33,2nd Place,2,false,Ilona Maher_S33
Anna Delvey,Ezra Sosa,Con artist,,Russia,33,33,Eliminated Week 2,12,false,Anna Delvey_S33
Brooks Nader,Gleb Savchenko,Model,New York,United States,27,33,Eliminated Week 4,9,false,Brooks Nader_S33
Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,33,Eliminated Week 5,8,false,Phaedra Parks_S33
Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,33,Eliminated Week 6,7,false,Jenn Tran_S33
Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,33,1st Place,1,false,Joey Graziadei_S33
Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,34,Eliminated Week 2,13,false,Corey Feldman_S34
Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,34,Eliminated Week 8,8,false,Danielle Fishel_S34
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,34,5th Place,5,false,Elaine Hendrix_S34
Baron Davis,Britt Stewart,Athlete,California,United States,46,34,Eliminated Week 2,13,false,Baron Davis_S34
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,34,3rd Place,3,false,Jordan Chiles_S34
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,34,Eliminated Week 9,7,false,Andy Richter_S34
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,34,1st Place,1,false,Robert Irwin_S34
Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,34,Eliminated Week 4,11,false,Hilaria Baldwin_S34
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,34,Eliminated Week 3,12,false,Lauren Jauregui_S34
Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,34,Eliminated Week 6,10,false,Scott Hoying_S34
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,34,2nd Place,2,false,Alix Earle_S34
Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,34,Eliminated Week 7,9,false,Jen Affleck_S34
Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,34,Eliminated Week 10,6,false,Whitney Leavitt_S34
Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,34,4th Place,4,false,Dylan Efron_S34
