celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,contestant_id
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,Gary Busey_S21
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,Eliminated Week 9,6,Alexa PenaVega_S21
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,Eliminated Week 11,4,Carlos PenaVega_S21
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,Eliminated Week 2,12,Victor Espinoza_S21
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3rd Place,3,Alek Skarlatos_S21
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,Eliminated Week 2,13,Chaka Khan_S21
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,Andy Grammer_S21
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,Withdrew,5,Tamar Braxton_S21
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2nd Place,2,Nick Carter_S21
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,Eliminated Week 7,8,Hayes Grier_S21
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1st Place,1,Bindi Irwin_S21
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,Withdrew,11,Kim Zolciak-Biermann_S21
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,Eliminated Week 6,9,Paula Deen_S21
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,Eliminated Week 3,11,Mischa Barton_S22
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,Eliminated Week 7,8,Kim Fields_S22
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,Eliminated Week 8,6,Jodie Sweetin_S22
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,Eliminated Week 6,9,Doug Flutie_S22
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,Eliminated Week 7,7,Von Miller_S22
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,Eliminated Week 9,5,Antonio Brown_S22
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2nd Place,2,Paige VanZant_S22
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,Eliminated Week 2,12,Geraldo Rivera_S22
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1st Place,1,Nyle DiMarco_S22
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3rd Place,3,Ginger Zee_S22
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,Eliminated Week 9,4,Wanya Morris_S22
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,Eliminated Week 4,10,Marla Maples_S22
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,Eliminated Week 2,13,Jake T. Austin_S23
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,Eliminated Week 7,8,Maureen McCormick_S23
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,Eliminated Week 9,6,Marilu Henner_S23
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,Eliminated Week 8,7,Ryan Lochte_S23
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3rd Place,3,Calvin Johnson Jr._S23
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1st Place,1,Laurie Hernandez_S23
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,Eliminated Week 6,9,Amber Rose_S23
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,Eliminated Week 3,12,Rick Perry_S23
James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,23,2nd Place,2,James Hinchcliffe_S23
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,Eliminated Week 4,11,Babyface_S23
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,Eliminated Week 4,10,Vanilla Ice_S23
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,Eliminated Week 11,4,Jana Kramer_S23
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,Eliminated Week 10,5,Terra Jole_S23
Charo,Keo Motsepe,Actor/Actress,,Spain,66,24,Eliminated Week 3,11,Charo_S24
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,Eliminated Week 4,10,Mr. T_S24
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,Eliminated Week 6,8,Heather Morris_S24
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,Eliminated Week 7,7,Nancy Kerrigan_S24
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,Eliminated Week 8,5,Bonner Bolton_S24
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,Eliminated Week 9,4,Simone Biles_S24
David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,24,2nd Place,2,David Ross_S24
Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,24,1st Place,1,Rashad Jennings_S24
Chris Kattan,Witney Carson,Comedian,California,United States,46,24,Eliminated Week 2,12,Chris Kattan_S24
Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,24,Eliminated Week 5,9,Erika Jayne_S24
Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,24,3rd Place,3,Normani_S24
Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,24,Eliminated Week 7,6,Nick Viall_S24
Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,25,Eliminated Week 5,10,Sasha Pieterse_S25
Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,25,3rd Place,3,Frankie Muniz_S25
Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,25,1st Place,1,Jordan Fisher_S25
Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,25,Eliminated Week 4,11,Derek Fisher_S25
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,Eliminated Week 7,8,Nikki Bella_S25
Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,25,Eliminated Week 8,6,Terrell Owens_S25
Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,25,Eliminated Week 9,5,Victoria Arlen_S25
Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,25,Eliminated Week 2,13,Barbara Corcoran_S25
Lindsey Stirling,Mark Ballas,Musician,California,United States,31,25,2nd Place,2,Lindsey Stirling_S25
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,Eliminated Week 2,12,Debbie Gibson_S25
Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,25,Eliminated Week 6,9,Nick Lachey_S25
Drew Scott,Emma Slater,TV Personality,,Canada,39,25,Eliminated Week 10,4,Drew Scott_S25
Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,25,Eliminated Week 7,7,Vanessa Lachey_S25
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,Eliminated Week 1,10,Jamie Anderson_S26
Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,26,Eliminated Week 1,9,Johnny Damon_S26
Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,26,Eliminated Week 2,8,Kareem Abdul-Jabbar_S26
Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,26,Eliminated Week 2,7,Arike Ogunbowale_S26
Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,26,Eliminated Week 3,6,Jennie Finch Daigle_S26
Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,26,Eliminated Week 3,5,Chris Mazdzer_S26
Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,26,Eliminated Week 3,4,Mirai Nagasu_S26
Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,26,3rd Place,3,Tonya Harding_S26
Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,26,2nd Place,2,Josh Norman_S26
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,26,1st Place,1,Adam Rippon_S26
Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,27,Eliminated Week 8,5,Juan Pablo Di Pace_S27
Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,27,3rd Place,3,Evanna Lynch_S27
Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,27,Eliminated Week 3,11,Nancy McKeon_S27
John Schneider,Emma Slater,Actor/Actress,New York,United States,58,27,Eliminated Week 7,8,John Schneider_S27
Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,27,2nd Place,2,Milo Manheim_S27
Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,27,Eliminated Week 2,12,Danelle Umstead_S27
Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,27,Eliminated Week 6,9,Mary Lou Retton_S27
DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,27,Eliminated Week 7,7,DeMarcus Ware_S27
Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,27,Eliminated Week 1,13,Nikki Glaser_S27
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,27,1st Place,1,Bobby Bones_S27
Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,27,Eliminated Week 4,10,Tinashe_S27
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,27,4th Place,4,Alexis Ren_S27
Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,27,Eliminated Week 8,6,Joe Amabile_S27
Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,28,Eliminated Week 8,7,Kate Flannery_S28
James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,28,Eliminated Week 10,5,James Van Der Beek_S28
Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,28,2nd Place,2,Kel Mitchell_S28
Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,28,Withdrew,11,Ray Lewis_S28
Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,28,Eliminated Week 4,10,Lamar Odom_S28
Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,28,Eliminated Week 6,9,Sailor Brinkley-Cook_S28
Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,28,Eliminated Week 9,6,Sean Spicer_S28
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,Eliminated Week 2,12,Mary Wilson_S28
Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,28,4th Place,4,Lauren Alaina_S28
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,28,3rd Place,3,Ally Brooke_S28
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,Eliminated Week 7,8,Karamo Brown_S28
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,Hannah Brown_S28
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,Eliminated Week 4,13,Anne Heche_S29
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,Eliminated Week 5,12,Jesse Metcalfe_S29
Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,29,Eliminated Week 8,8,Chrishell Stause_S29
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,Eliminated Week 10,5,Skai Jackson_S29
Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,29,4th Place,4,Justina Machado_S29
Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,29,Eliminated Week 2,15,Charles Oakley_S29
Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,29,Eliminated Week 6,11,Veron Davis_S29
Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,29,Eliminated Week 10,6,Johnny Weir_S29
Nev Schulman,Jenna Johnson,Producer,New York,United States,35,29,2nd Place,2,Nev Schulman_S29
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,29,Eliminated Week 9,7,AJ McLean_S29
Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,29,3rd Place,3,Nelly_S29
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,29,1st Place,1,Kaitlyn Bristowe_S29
Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,29,Eliminated Week 3,14,Carole Baskin_S29
Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,29,Eliminated Week 7,10,Monica Aldama_S29
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,Jeannie Mai_S29
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,Martin Kove_S30
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,Eliminated Week 4,13,Brian Austin Green_S30
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,Melora Hardin_S30
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,Eliminated Week 4,12,Matt James_S30
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,Eliminated Week 7,9,"Mike ""The Miz"" Mizanin_S30"
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,Eliminated Week 9,5,Suni Lee_S30
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1st Place,1,Iman Shumpert_S30
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3rd Place,3,Cody Rigsby_S30
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,Eliminated Week 5,11,Melanie C_S30
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,Eliminated Week 8,7,Jimmie Allen_S30
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,Eliminated Week 8,8,Olivia Jade_S30
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2nd Place,2,JoJo Siwa_S30
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,Eliminated Week 3,14,Christine Chiu_S30
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,Kenya Moore_S30
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,Amanda Kloots_S30
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,Eliminated Week 1,16,Jason Lewis_S31
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,Eliminated Week 3,14,Cheryl Ladd_S31
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,Withdrew,12,Selma Blair_S31
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,Eliminated Week 5,11,Joseph Baena_S31
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,Eliminated Week 9,6,Trevor Donovan_S31
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,Daniel Durant_S31
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3rd Place,3,Wayne Brady_S31
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,Eliminated Week 4,13,Sam Champion_S31
Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,31,Eliminated Week 6,10,Jessie James Decker_S31
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,Eliminated Week 7,9,Jordin Sparks_S31
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,Eliminated Week 8,8,Heidi D'Amelio_S31
Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,31,1st Place,1,Charli D'Amelio_S31
Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,31,Eliminated Week 2,15,Teresa Giudice_S31
Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,31,Eliminated Week 8,7,Vinny Guadagnino_S31
Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,31,4th Place,4,Shangela_S31
Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,31,2nd Place,2,Gabby Windey_S31
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,Eliminated Week 2,13,Jamie Lynn Spears_S32
Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,32,Eliminated Week 5,10,Mira Sorvino_S32
Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,32,Eliminated Week 8,7,Barry Williams_S32
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,32,5th Place,5,Alyson Hannigan_S32
Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,32,1st Place,1,Xochitl Gomez_S32
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,Eliminated Week 4,11,Adrian Peterson_S32
Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,32,Eliminated Week 1,14,Matt Walsh_S32
Tyson Beckford,Jenna Johnson,Model,New York,United States,52,32,Eliminated Week 3,12,Tyson Beckford_S32
Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,32,2nd Place,2,Jason Mraz_S32
Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,32,Eliminated Week 7,8,Lele Pons_S32
Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,32,Eliminated Week 9,6,Harry Jowsey_S32
Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,32,Eliminated Week 6,9,Mauricio Umansky_S32
Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,32,4th Place,4,Charity Lawson_S32
Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,32,3rd Place,3,Ariana Madix_S32
Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,33,Eliminated Week 2,12,Tori Spelling_S33
Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,33,Eliminated Week 3,10,Eric Roberts_S33
Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,33,Eliminated Week 3,10,Reginald VelJohnson_S33
Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,33,3rd Place,3,Chandler Kinney_S33
Dwight Howard ,Daniella Karagach,Athlete,Georgia,United States,38,33,Eliminated Week 7,6,Dwight Howard _S33
Danny Amendola,Witney Carson,Athlete,Texas,United States,39,33,5th Place,5,Danny Amendola_S33
Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,33,4th Place,4,Stephen Nedoroscik_S33
Ilona Maher,Alan Bersten,Athlete,California,United States,28,33,2nd Place,2,Ilona Maher_S33
Anna Delvey,Ezra Sosa,Con artist,,Russia,33,33,Eliminated Week 2,12,Anna Delvey_S33
Brooks Nader,Gleb Savchenko,Model,New York,United States,27,33,Eliminated Week 4,9,Brooks Nader_S33
Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,33,Eliminated Week 5,8,Phaedra Parks_S33
Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,33,Eliminated Week 6,7,Jenn Tran_S33
Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,33,1st Place,1,Joey Graziadei_S33
Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,34,Eliminated Week 2,13,Corey Feldman_S34
Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,34,Eliminated Week 8,8,Danielle Fishel_S34
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,34,5th Place,5,Elaine Hendrix_S34
Baron Davis,Britt Stewart,Athlete,California,United States,46,34,Eliminated Week 2,13,Baron Davis_S34
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,34,3rd Place,3,Jordan Chiles_S34
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,34,Eliminated Week 9,7,Andy Richter_S34
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,34,1st Place,1,Robert Irwin_S34
Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,34,Eliminated Week 4,11,Hilaria Baldwin_S34
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,34,Eliminated Week 3,12,Lauren Jauregui_S34
Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,34,Eliminated Week 6,10,Scott Hoying_S34
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,34,2nd Place,2,Alix Earle_S34
Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,34,Eliminated Week 7,9,Jen Affleck_S34
Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,34,Eliminated Week 10,6,Whitney Leavitt_S34
Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,34,4th Place,4,Dylan Efron_S34
