season,week,discrepancy_prob,method1_eliminated,method2_eliminated,method_pair
31,8,0.76,Trevor Donovan_S31,Charli D'Amelio_S31,rank_rank_vs_percent_rank
31,9,0.67,Charli D'Amelio_S31,Shangela_S31,rank_rank_vs_percent_rank
31,10,0.53,Charli D'Amelio_S31,Wayne Brady_S31,rank_rank_vs_percent_rank
32,1,0.94,Tyson Beckford_S32,Ariana Madix_S32,rank_rank_vs_percent_rank
32,2,0.82,Mira Sorvino_S32,Mira Sorvino_S32,rank_rank_vs_percent_rank
32,3,0.86,Charity Lawson_S32,Xochitl Gomez_S32,rank_rank_vs_percent_rank
32,4,0.82,Ariana Madix_S32,Ariana Madix_S32,rank_rank_vs_percent_rank
32,5,0.9,Lele Pons_S32,Jason Mraz_S32,rank_rank_vs_percent_rank
32,6,0.9,Xochitl Gomez_S32,Lele Pons_S32,rank_rank_vs_percent_rank
32,7,0.87,Xochitl Gomez_S32,Ariana Madix_S32,rank_rank_vs_percent_rank
32,8,0.76,Ariana Madix_S32,Ariana Madix_S32,rank_rank_vs_percent_rank
32,9,0.76,Jason Mraz_S32,Jason Mraz_S32,rank_rank_vs_percent_rank
32,10,0.67,Xochitl Gomez_S32,Charity Lawson_S32,rank_rank_vs_percent_rank
32,11,0.62,Charity Lawson_S32,Xochitl Gomez_S32,rank_rank_vs_percent_rank
33,1,0.88,Dwight Howard _S33,Stephen Nedoroscik_S33,rank_rank_vs_percent_rank
33,2,0.93,Ilona Maher_S33,Jenn Tran_S33,rank_rank_vs_percent_rank
33,3,0.88,Eric Roberts_S33,Chandler Kinney_S33,rank_rank_vs_percent_rank
33,4,0.84,Danny Amendola_S33,Danny Amendola_S33,rank_rank_vs_percent_rank
33,5,0.82,Joey Graziadei_S33,Danny Amendola_S33,rank_rank_vs_percent_rank
33,6,0.78,Dwight Howard _S33,Chandler Kinney_S33,rank_rank_vs_percent_rank
33,7,0.72,Chandler Kinney_S33,Joey Graziadei_S33,rank_rank_vs_percent_rank
33,8,0.7,Chandler Kinney_S33,Chandler Kinney_S33,rank_rank_vs_percent_rank
33,9,0.66,Chandler Kinney_S33,Ilona Maher_S33,rank_rank_vs_percent_rank
34,1,0.91,Andy Richter_S34,Jen Affleck_S34,rank_rank_vs_percent_rank
34,2,0.88,Jordan Chiles_S34,Alix Earle_S34,rank_rank_vs_percent_rank
34,3,0.89,Jordan Chiles_S34,Jordan Chiles_S34,rank_rank_vs_percent_rank
34,4,0.82,Dylan Efron_S34,Whitney Leavitt_S34,rank_rank_vs_percent_rank
34,5,0.85,Dylan Efron_S34,Danielle Fishel_S34,rank_rank_vs_percent_rank
34,6,0.85,Whitney Leavitt_S34,Danielle Fishel_S34,rank_rank_vs_percent_rank
34,7,0.85,Jordan Chiles_S34,Dylan Efron_S34,rank_rank_vs_percent_rank
34,8,0.78,Andy Richter_S34,Whitney Leavitt_S34,rank_rank_vs_percent_rank
34,9,0.7,Dylan Efron_S34,Dylan Efron_S34,rank_rank_vs_percent_rank
34,10,0.77,Alix Earle_S34,Alix Earle_S34,rank_rank_vs_percent_rank
34,11,0.55,Alix Earle_S34,Robert Irwin_S34,rank_rank_vs_percent_rank
1,1,0.89,Kelly Monaco_S1,Rachel Hunter_S1,fan_rank_vs_judge_rank
1,2,0.96,Joey McIntyre_S1,John O'Hurley_S1,fan_rank_vs_judge_rank
1,3,0.93,Evander Holyfield_S1,Rachel Hunter_S1,fan_rank_vs_judge_rank
1,4,0.98,Joey McIntyre_S1,Kelly Monaco_S1,fan_rank_vs_judge_rank
1,5,0.78,John O'Hurley_S1,John O'Hurley_S1,fan_rank_vs_judge_rank
1,6,0.04,Kelly Monaco_S1,Kelly Monaco_S1,fan_rank_vs_judge_rank
2,1,0.95,Master P_S2,Drew Lachey_S2,fan_rank_vs_judge_rank
2,2,0.93,Lisa Rinna_S2,Drew Lachey_S2,fan_rank_vs_judge_rank
2,3,0.96,Master P_S2,Drew Lachey_S2,fan_rank_vs_judge_rank
2,4,0.89,Lisa Rinna_S2,Stacy Keibler_S2,fan_rank_vs_judge_rank
2,5,0.91,Jerry Rice_S2,Stacy Keibler_S2,fan_rank_vs_judge_rank
2,6,0.9,Jerry Rice_S2,Stacy Keibler_S2,fan_rank_vs_judge_rank
2,7,0.88,Jerry Rice_S2,Drew Lachey_S2,fan_rank_vs_judge_rank
2,8,0.87,Drew Lachey_S2,Drew Lachey_S2,fan_rank_vs_judge_rank
3,1,0.93,Sara Evans_S3,Mario Lopez_S3,fan_rank_vs_judge_rank
3,2,0.93,Emmitt Smith_S3,Willa Ford_S3,fan_rank_vs_judge_rank
3,3,0.94,Mario Lopez_S3,Willa Ford_S3,fan_rank_vs_judge_rank
3,4,0.96,Jerry Springer_S3,Willa Ford_S3,fan_rank_vs_judge_rank
3,5,0.88,Jerry Springer_S3,Mario Lopez_S3,fan_rank_vs_judge_rank
3,6,0.71,Monique Coleman_S3,Monique Coleman_S3,fan_rank_vs_judge_rank
3,7,0.7,Mario Lopez_S3,Joey Lawrence_S3,fan_rank_vs_judge_rank
3,8,0.76,Joey Lawrence_S3,Joey Lawrence_S3,fan_rank_vs_judge_rank
3,9,0.62,Emmitt Smith_S3,Emmitt Smith_S3,fan_rank_vs_judge_rank
3,10,0.47,Emmitt Smith_S3,Emmitt Smith_S3,fan_rank_vs_judge_rank
4,1,0.93,Billy Ray Cyrus_S4,Apolo Anton Ohno_S4,fan_rank_vs_judge_rank
4,2,0.92,Ian Ziering_S4,Clyde Drexler_S4,fan_rank_vs_judge_rank
4,3,0.89,Joey Fatone_S4,Leeza Gibbons_S4,fan_rank_vs_judge_rank
4,4,0.93,Billy Ray Cyrus_S4,Apolo Anton Ohno_S4,fan_rank_vs_judge_rank
4,5,0.85,Billy Ray Cyrus_S4,Billy Ray Cyrus_S4,fan_rank_vs_judge_rank
4,6,0.95,Ian Ziering_S4,Apolo Anton Ohno_S4,fan_rank_vs_judge_rank
4,7,0.89,Laila Ali_S4,Ian Ziering_S4,fan_rank_vs_judge_rank
4,8,0.91,Ian Ziering_S4,Ian Ziering_S4,fan_rank_vs_judge_rank
4,9,0.82,Laila Ali_S4,Joey Fatone_S4,fan_rank_vs_judge_rank
4,10,0.15,Apolo Anton Ohno_S4,Apolo Anton Ohno_S4,fan_rank_vs_judge_rank
5,1,0.89,Mel B_S5,Mark Cuban_S5,fan_rank_vs_judge_rank
5,2,0.91,Mark Cuban_S5,Mel B_S5,fan_rank_vs_judge_rank
5,3,0.93,Floyd Mayweather Jr. _S5,Mel B_S5,fan_rank_vs_judge_rank
5,4,0.89,Jane Seymour_S5,Cameron Mathison_S5,fan_rank_vs_judge_rank
5,5,0.91,Cameron Mathison_S5,Cameron Mathison_S5,fan_rank_vs_judge_rank
5,6,0.96,Jane Seymour_S5,Mel B_S5,fan_rank_vs_judge_rank
5,7,0.86,Cameron Mathison_S5,Jennie Garth_S5,fan_rank_vs_judge_rank
5,8,0.65,Helio Castroneves_S5,Helio Castroneves_S5,fan_rank_vs_judge_rank
5,9,0.58,Helio Castroneves_S5,Helio Castroneves_S5,fan_rank_vs_judge_rank
5,10,0.83,Helio Castroneves_S5,Helio Castroneves_S5,fan_rank_vs_judge_rank
6,1,0.89,Steve Guttenberg_S6,Penn Jillette_S6,fan_rank_vs_judge_rank
6,2,0.93,Steve Guttenberg_S6,Jason Taylor_S6,fan_rank_vs_judge_rank
6,3,0.89,Marlee Matlin_S6,Marlee Matlin_S6,fan_rank_vs_judge_rank
6,4,0.91,Marissa Jaret Winokur_S6,Kristi Yamaguchi_S6,fan_rank_vs_judge_rank
6,5,0.93,Marlee Matlin_S6,Marissa Jaret Winokur_S6,fan_rank_vs_judge_rank
6,6,0.84,Shannon Elizabeth_S6,Shannon Elizabeth_S6,fan_rank_vs_judge_rank
6,7,0.93,Cristian de la Fuente_S6,Jason Taylor_S6,fan_rank_vs_judge_rank
6,8,0.92,Marissa Jaret Winokur_S6,Cristian de la Fuente_S6,fan_rank_vs_judge_rank
6,9,0.89,Jason Taylor_S6,Kristi Yamaguchi_S6,fan_rank_vs_judge_rank
6,10,0.27,Kristi Yamaguchi_S6,Kristi Yamaguchi_S6,fan_rank_vs_judge_rank
7,1,0.98,Cloris Leachman_S7,Toni Braxton_S7,fan_rank_vs_judge_rank
7,2,0.95,Rocco DiSpirito_S7,Cloris Leachman_S7,fan_rank_vs_judge_rank
7,3,0.87,Toni Braxton_S7,Toni Braxton_S7,fan_rank_vs_judge_rank
7,4,0.95,Warren Sapp_S7,Warren Sapp_S7,fan_rank_vs_judge_rank
7,5,0.91,Cloris Leachman_S7,Toni Braxton_S7,fan_rank_vs_judge_rank
7,6,0.88,Warren Sapp_S7,Brooke Burke_S7,fan_rank_vs_judge_rank
7,7,0.9,Warren Sapp_S7,Lance Bass_S7,fan_rank_vs_judge_rank
7,8,0.92,Cody Linley_S7,Brooke Burke_S7,fan_rank_vs_judge_rank
7,9,0.79,Brooke Burke_S7,Brooke Burke_S7,fan_rank_vs_judge_rank
7,10,0.26,Brooke Burke_S7,Brooke Burke_S7,fan_rank_vs_judge_rank
8,1,0.92,Ty Murray_S8,Shawn Johnson_S8,fan_rank_vs_judge_rank
8,2,0.94,Ty Murray_S8,Denise Richards_S8,fan_rank_vs_judge_rank
8,3,0.93,Lawrence Taylor_S8,Ty Murray_S8,fan_rank_vs_judge_rank
8,4,0.89,Steve Wozniak_S8,Ty Murray_S8,fan_rank_vs_judge_rank
8,5,0.95,Steve-O_S8,Chuck Wicks_S8,fan_rank_vs_judge_rank
8,6,0.94,Ty Murray_S8,Shawn Johnson_S8,fan_rank_vs_judge_rank
8,7,0.89,Ty Murray_S8,Gilles Marini_S8,fan_rank_vs_judge_rank
8,8,0.89,Melissa Rycroft_S8,Lil' Kim_S8,fan_rank_vs_judge_rank
8,9,0.87,Ty Murray_S8,Melissa Rycroft_S8,fan_rank_vs_judge_rank
8,10,0.88,Melissa Rycroft_S8,Gilles Marini_S8,fan_rank_vs_judge_rank
8,11,0.28,Shawn Johnson_S8,Shawn Johnson_S8,fan_rank_vs_judge_rank
9,1,0.95,Natalie Coughlin_S9,Mya_S9,fan_rank_vs_judge_rank
9,2,0.9,Debi Mazar_S9,Aaron Carter_S9,fan_rank_vs_judge_rank
9,3,0.93,Michael Irvin_S9,Joanna Krupa_S9,fan_rank_vs_judge_rank
9,4,0.93,Natalie Coughlin_S9,Donny Osmond_S9,fan_rank_vs_judge_rank
9,5,0.96,Mya_S9,Melissa Joan Hart_S9,fan_rank_vs_judge_rank
9,6,0.95,Michael Irvin_S9,Joanna Krupa_S9,fan_rank_vs_judge_rank
9,7,0.8,Mya_S9,Kelly Osbourne_S9,fan_rank_vs_judge_rank
9,8,0.82,Kelly Osbourne_S9,Joanna Krupa_S9,fan_rank_vs_judge_rank
9,9,0.96,Donny Osmond_S9,Kelly Osbourne_S9,fan_rank_vs_judge_rank
9,10,0.23,Donny Osmond_S9,Mya_S9,fan_rank_vs_judge_rank
10,1,0.92,Niecy Nash_S10,Jake Pavelka_S10,fan_rank_vs_judge_rank
10,2,0.94,Aiden Turner_S10,Nicole Scherzinger_S10,fan_rank_vs_judge_rank
10,3,0.93,Evan Lysacek_S10,Nicole Scherzinger_S10,fan_rank_vs_judge_rank
10,4,0.91,Kate Gosselin_S10,Erin Andrews_S10,fan_rank_vs_judge_rank
10,5,0.89,Pamela Anderson_S10,Evan Lysacek_S10,fan_rank_vs_judge_rank
10,6,0.91,Niecy Nash_S10,Pamela Anderson_S10,fan_rank_vs_judge_rank
10,7,0.9,Niecy Nash_S10,Evan Lysacek_S10,fan_rank_vs_judge_rank
10,8,0.87,Chad Ochocinco_S10,Erin Andrews_S10,fan_rank_vs_judge_rank
10,9,0.55,Evan Lysacek_S10,Nicole Scherzinger_S10,fan_rank_vs_judge_rank
10,10,0.24,Nicole Scherzinger_S10,Nicole Scherzinger_S10,fan_rank_vs_judge_rank
11,1,0.93,Kurt Warner_S11,Brandy_S11,fan_rank_vs_judge_rank
11,2,0.91,Audrina Patridge_S11,Rick Fox_S11,fan_rank_vs_judge_rank
11,3,0.94,The Situation_S11,Rick Fox_S11,fan_rank_vs_judge_rank
11,4,0.93,Rick Fox_S11,Jennifer Grey_S11,fan_rank_vs_judge_rank
11,5,0.94,Bristol Palin_S11,Jennifer Grey_S11,fan_rank_vs_judge_rank
11,6,0.93,Jennifer Grey_S11,Audrina Patridge_S11,fan_rank_vs_judge_rank
11,7,0.91,Kurt Warner_S11,Brandy_S11,fan_rank_vs_judge_rank
11,8,0.95,Bristol Palin_S11,Jennifer Grey_S11,fan_rank_vs_judge_rank
11,9,0.88,Jennifer Grey_S11,Kyle Massey_S11,fan_rank_vs_judge_rank
11,10,0.28,Jennifer Grey_S11,Kyle Massey_S11,fan_rank_vs_judge_rank
12,1,0.85,Ralph Macchio_S12,Kirstie Alley_S12,fan_rank_vs_judge_rank
12,2,0.93,Kirstie Alley_S12,Ralph Macchio_S12,fan_rank_vs_judge_rank
12,3,0.9,Sugar Ray Leonard_S12,Hines Ward_S12,fan_rank_vs_judge_rank
12,4,0.92,Hines Ward_S12,Chris Jericho_S12,fan_rank_vs_judge_rank
12,5,0.9,Kirstie Alley_S12,Romeo_S12,fan_rank_vs_judge_rank
12,6,0.83,Hines Ward_S12,Romeo_S12,fan_rank_vs_judge_rank
12,7,0.93,Romeo_S12,Ralph Macchio_S12,fan_rank_vs_judge_rank
12,8,0.9,Ralph Macchio_S12,Chelsea Kane_S12,fan_rank_vs_judge_rank
12,9,0.85,Kirstie Alley_S12,Ralph Macchio_S12,fan_rank_vs_judge_rank
12,10,0.55,Hines Ward_S12,Hines Ward_S12,fan_rank_vs_judge_rank
13,1,0.97,Chaz Bono_S13,Kristin Cavallari_S13,fan_rank_vs_judge_rank
13,2,0.95,Chaz Bono_S13,J.R. Martinez_S13,fan_rank_vs_judge_rank
13,3,0.96,Chaz Bono_S13,J.R. Martinez_S13,fan_rank_vs_judge_rank
13,4,0.93,Nancy Grace_S13,Ricki Lake_S13,fan_rank_vs_judge_rank
13,5,0.91,J.R. Martinez_S13,J.R. Martinez_S13,fan_rank_vs_judge_rank
13,6,0.91,Hope Solo_S13,J.R. Martinez_S13,fan_rank_vs_judge_rank
13,7,0.89,Nancy Grace_S13,Ricki Lake_S13,fan_rank_vs_judge_rank
13,8,0.91,Rob Kardashian_S13,J.R. Martinez_S13,fan_rank_vs_judge_rank
13,9,0.79,Ricki Lake_S13,Rob Kardashian_S13,fan_rank_vs_judge_rank
13,10,0.82,J.R. Martinez_S13,Rob Kardashian_S13,fan_rank_vs_judge_rank
14,1,0.89,Melissa Gilbert_S14,Gavin DeGraw_S14,fan_rank_vs_judge_rank
14,2,0.95,Sherri Sheperd_S14,Roshon Fegan_S14,fan_rank_vs_judge_rank
14,3,0.91,Gavin DeGraw_S14,Katherine Jenkins_S14,fan_rank_vs_judge_rank
14,4,0.92,William Levy_S14,Katherine Jenkins_S14,fan_rank_vs_judge_rank
14,5,0.87,Melissa Gilbert_S14,Donald Driver_S14,fan_rank_vs_judge_rank
14,6,0.94,Melissa Gilbert_S14,Donald Driver_S14,fan_rank_vs_judge_rank
14,7,0.9,Maria Menounos_S14,Roshon Fegan_S14,fan_rank_vs_judge_rank
14,8,0.77,Maria Menounos_S14,William Levy_S14,fan_rank_vs_judge_rank
14,9,0.9,Donald Driver_S14,Maria Menounos_S14,fan_rank_vs_judge_rank
14,10,0.84,Donald Driver_S14,Katherine Jenkins_S14,fan_rank_vs_judge_rank
15,1,0.93,Kelly Monaco_S15,Joey Fatone_S15,fan_rank_vs_judge_rank
15,2,0.92,Bristol Palin_S15,Sabrina Bryan_S15,fan_rank_vs_judge_rank
15,3,0.95,Emmitt Smith_S15,Kelly Monaco_S15,fan_rank_vs_judge_rank
15,4,0.94,Apolo Anton Ohno_S15,Shawn Johnson_S15,fan_rank_vs_judge_rank
15,5,0.93,Kelly Monaco_S15,Sabrina Bryan_S15,fan_rank_vs_judge_rank
15,6,0.91,Gilles Marini_S15,Kirstie Alley_S15,fan_rank_vs_judge_rank
15,7,0.84,Emmitt Smith_S15,Emmitt Smith_S15,fan_rank_vs_judge_rank
15,8,0.96,Apolo Anton Ohno_S15,Melissa Rycroft_S15,fan_rank_vs_judge_rank
15,9,0.78,Kelly Monaco_S15,Shawn Johnson_S15,fan_rank_vs_judge_rank
15,10,0.29,Shawn Johnson_S15,Melissa Rycroft_S15,fan_rank_vs_judge_rank
16,1,0.91,Victor Ortiz_S16,Alexandra Raisman_S16,fan_rank_vs_judge_rank
16,2,0.91,Lisa Vanderpump_S16,Ingo Rademacher_S16,fan_rank_vs_judge_rank
16,3,0.93,Ingo Rademacher_S16,Victor Ortiz_S16,fan_rank_vs_judge_rank
16,4,0.92,Victor Ortiz_S16,Ingo Rademacher_S16,fan_rank_vs_judge_rank
16,5,0.88,Jacoby Jones_S16,Jacoby Jones_S16,fan_rank_vs_judge_rank
16,6,0.91,Sean Lowe_S16,Sean Lowe_S16,fan_rank_vs_judge_rank
16,7,0.94,Sean Lowe_S16,Jacoby Jones_S16,fan_rank_vs_judge_rank
16,8,0.9,Ingo Rademacher_S16,Zendaya_S16,fan_rank_vs_judge_rank
16,9,0.87,Alexandra Raisman_S16,Alexandra Raisman_S16,fan_rank_vs_judge_rank
16,10,0.52,Jacoby Jones_S16,Kellie Pickler_S16,fan_rank_vs_judge_rank
17,1,0.91,Jack Osbourne_S17,Amber Riley_S17,fan_rank_vs_judge_rank
17,2,0.89,Jack Osbourne_S17,Christina Milian_S17,fan_rank_vs_judge_rank
17,3,0.97,Valerie Harper_S17,Brant Daugherty_S17,fan_rank_vs_judge_rank
17,4,0.96,Christina Milian_S17,Corbin Bleu_S17,fan_rank_vs_judge_rank
17,5,0.92,Leah Remini_S17,Amber Riley_S17,fan_rank_vs_judge_rank
17,6,0.83,Leah Remini_S17,Amber Riley_S17,fan_rank_vs_judge_rank
17,7,0.91,Leah Remini_S17,Corbin Bleu_S17,fan_rank_vs_judge_rank
17,8,0.87,Elizabeth Berkley Lauren_S17,Leah Remini_S17,fan_rank_vs_judge_rank
17,9,0.93,Bill Engvall_S17,Corbin Bleu_S17,fan_rank_vs_judge_rank
17,10,0.89,Bill Engvall_S17,Corbin Bleu_S17,fan_rank_vs_judge_rank
17,11,0.44,Bill Engvall_S17,Corbin Bleu_S17,fan_rank_vs_judge_rank
18,1,0.95,James Maslow_S18,Cody Simpson_S18,fan_rank_vs_judge_rank
18,2,0.94,Amy Purdy_S18,James Maslow_S18,fan_rank_vs_judge_rank
18,3,0.88,NeNe Leakes_S18,Meryl Davis_S18,fan_rank_vs_judge_rank
18,4,0.93,Candace Cameron Bure_S18,Amy Purdy_S18,fan_rank_vs_judge_rank
18,5,0.88,Meryl Davis_S18,Danica McKellar_S18,fan_rank_vs_judge_rank
18,6,0.88,Charlie White_S18,Amy Purdy_S18,fan_rank_vs_judge_rank
18,7,0.81,James Maslow_S18,Amy Purdy_S18,fan_rank_vs_judge_rank
18,8,0.91,Meryl Davis_S18,Charlie White_S18,fan_rank_vs_judge_rank
18,9,0.84,Candace Cameron Bure_S18,Meryl Davis_S18,fan_rank_vs_judge_rank
18,10,0.38,Meryl Davis_S18,Meryl Davis_S18,fan_rank_vs_judge_rank
19,1,0.92,Bethany Mota_S19,Bethany Mota_S19,fan_rank_vs_judge_rank
19,2,0.91,Jonathan Bennett_S19,Jonathan Bennett_S19,fan_rank_vs_judge_rank
19,3,0.92,Bethany Mota_S19,Bethany Mota_S19,fan_rank_vs_judge_rank
19,4,0.93,Sadie Robertson_S19,Lea Thompson_S19,fan_rank_vs_judge_rank
19,5,0.9,Bethany Mota_S19,Sadie Robertson_S19,fan_rank_vs_judge_rank
19,6,0.93,Michael Waltrip_S19,Bethany Mota_S19,fan_rank_vs_judge_rank
19,7,0.81,Bethany Mota_S19,Alfonso Ribeiro_S19,fan_rank_vs_judge_rank
19,8,0.8,Bethany Mota_S19,Bethany Mota_S19,fan_rank_vs_judge_rank
19,9,0.85,Tommy Chong_S19,Alfonso Ribeiro_S19,fan_rank_vs_judge_rank
19,10,0.73,Bethany Mota_S19,Janel Parrish_S19,fan_rank_vs_judge_rank
19,11,0.48,Alfonso Ribeiro_S19,Alfonso Ribeiro_S19,fan_rank_vs_judge_rank
20,1,0.94,Rumer Willis_S20,Redfoo_S20,fan_rank_vs_judge_rank
20,2,0.91,Nastia Liukin_S20,Patti LaBelle_S20,fan_rank_vs_judge_rank
20,3,0.89,Michael Sam_S20,Nastia Liukin_S20,fan_rank_vs_judge_rank
20,4,0.93,Rumer Willis_S20,Willow Shields_S20,fan_rank_vs_judge_rank
20,5,0.84,Chris Soules_S20,Nastia Liukin_S20,fan_rank_vs_judge_rank
20,6,0.82,Nastia Liukin_S20,Nastia Liukin_S20,fan_rank_vs_judge_rank
20,7,0.95,Chris Soules_S20,Noah Galloway_S20,fan_rank_vs_judge_rank
20,8,0.67,Nastia Liukin_S20,Rumer Willis_S20,fan_rank_vs_judge_rank
20,9,0.87,Riker Lynch_S20,Riker Lynch_S20,fan_rank_vs_judge_rank
20,10,0.52,Rumer Willis_S20,Riker Lynch_S20,fan_rank_vs_judge_rank
21,1,0.93,Carlos PenaVega_S21,Hayes Grier_S21,fan_rank_vs_judge_rank
21,2,0.91,Nick Carter_S21,Alexa PenaVega_S21,fan_rank_vs_judge_rank
21,3,0.93,Alexa PenaVega_S21,Alexa PenaVega_S21,fan_rank_vs_judge_rank
21,4,0.92,Hayes Grier_S21,Hayes Grier_S21,fan_rank_vs_judge_rank
21,5,0.8,Hayes Grier_S21,Alexa PenaVega_S21,fan_rank_vs_judge_rank
21,6,0.92,Hayes Grier_S21,Hayes Grier_S21,fan_rank_vs_judge_rank
21,7,0.95,Alexa PenaVega_S21,Carlos PenaVega_S21,fan_rank_vs_judge_rank
21,8,0.85,Andy Grammer_S21,Nick Carter_S21,fan_rank_vs_judge_rank
21,9,0.92,Alexa PenaVega_S21,Bindi Irwin_S21,fan_rank_vs_judge_rank
21,10,0.55,Carlos PenaVega_S21,Bindi Irwin_S21,fan_rank_vs_judge_rank
21,11,0.73,Alek Skarlatos_S21,Nick Carter_S21,fan_rank_vs_judge_rank
22,1,0.92,Jodie Sweetin_S22,Marla Maples_S22,fan_rank_vs_judge_rank
22,2,0.97,Ginger Zee_S22,Jodie Sweetin_S22,fan_rank_vs_judge_rank
22,3,0.88,Antonio Brown_S22,Wanya Morris_S22,fan_rank_vs_judge_rank
22,4,0.95,Kim Fields_S22,Marla Maples_S22,fan_rank_vs_judge_rank
22,5,0.88,Ginger Zee_S22,Nyle DiMarco_S22,fan_rank_vs_judge_rank
22,6,0.93,Kim Fields_S22,Paige VanZant_S22,fan_rank_vs_judge_rank
22,7,0.95,Jodie Sweetin_S22,Wanya Morris_S22,fan_rank_vs_judge_rank
22,8,0.96,Wanya Morris_S22,Ginger Zee_S22,fan_rank_vs_judge_rank
22,9,0.84,Ginger Zee_S22,Paige VanZant_S22,fan_rank_vs_judge_rank
22,10,0.79,Nyle DiMarco_S22,Paige VanZant_S22,fan_rank_vs_judge_rank
23,1,0.87,James Hinchcliffe_S23,James Hinchcliffe_S23,fan_rank_vs_judge_rank
23,2,0.86,Calvin Johnson Jr._S23,Terra Jole_S23,fan_rank_vs_judge_rank
23,3,0.89,Terra Jole_S23,Rick Perry_S23,fan_rank_vs_judge_rank
23,4,0.94,Jana Kramer_S23,Terra Jole_S23,fan_rank_vs_judge_rank
23,5,0.87,Ryan Lochte_S23,Terra Jole_S23,fan_rank_vs_judge_rank
23,6,0.95,Marilu Henner_S23,Jana Kramer_S23,fan_rank_vs_judge_rank
23,7,0.9,Terra Jole_S23,James Hinchcliffe_S23,fan_rank_vs_judge_rank
23,8,0.95,Marilu Henner_S23,Laurie Hernandez_S23,fan_rank_vs_judge_rank
23,9,0.9,Calvin Johnson Jr._S23,Jana Kramer_S23,fan_rank_vs_judge_rank
23,10,0.96,Calvin Johnson Jr._S23,Laurie Hernandez_S23,fan_rank_vs_judge_rank
23,11,0.44,Calvin Johnson Jr._S23,Laurie Hernandez_S23,fan_rank_vs_judge_rank
24,1,0.86,Rashad Jennings_S24,Rashad Jennings_S24,fan_rank_vs_judge_rank
24,2,0.96,Charo_S24,Rashad Jennings_S24,fan_rank_vs_judge_rank
24,3,0.95,Rashad Jennings_S24,Erika Jayne_S24,fan_rank_vs_judge_rank
24,4,0.91,Nick Viall_S24,Simone Biles_S24,fan_rank_vs_judge_rank
24,5,0.86,David Ross_S24,Normani_S24,fan_rank_vs_judge_rank
24,6,0.96,Nancy Kerrigan_S24,Normani_S24,fan_rank_vs_judge_rank
24,7,0.95,David Ross_S24,Rashad Jennings_S24,fan_rank_vs_judge_rank
24,8,0.8,David Ross_S24,Normani_S24,fan_rank_vs_judge_rank
24,9,0.89,David Ross_S24,Rashad Jennings_S24,fan_rank_vs_judge_rank
24,10,0.21,Rashad Jennings_S24,Rashad Jennings_S24,fan_rank_vs_judge_rank
25,1,0.91,Sasha Pieterse_S25,Sasha Pieterse_S25,fan_rank_vs_judge_rank
25,2,0.96,Drew Scott_S25,Frankie Muniz_S25,fan_rank_vs_judge_rank
25,3,0.9,Derek Fisher_S25,Jordan Fisher_S25,fan_rank_vs_judge_rank
25,4,0.89,Vanessa Lachey_S25,Jordan Fisher_S25,fan_rank_vs_judge_rank
25,5,0.91,Jordan Fisher_S25,Jordan Fisher_S25,fan_rank_vs_judge_rank
25,6,0.86,Victoria Arlen_S25,Jordan Fisher_S25,fan_rank_vs_judge_rank
25,7,0.92,Drew Scott_S25,Victoria Arlen_S25,fan_rank_vs_judge_rank
25,8,0.91,Drew Scott_S25,Lindsey Stirling_S25,fan_rank_vs_judge_rank
25,9,0.85,Drew Scott_S25,Lindsey Stirling_S25,fan_rank_vs_judge_rank
25,10,0.62,Jordan Fisher_S25,Lindsey Stirling_S25,fan_rank_vs_judge_rank
26,1,0.91,Kareem Abdul-Jabbar_S26,Josh Norman_S26,fan_rank_vs_judge_rank
26,2,0.91,Jennie Finch Daigle_S26,Josh Norman_S26,fan_rank_vs_judge_rank
26,3,0.76,Tonya Harding_S26,Adam Rippon_S26,fan_rank_vs_judge_rank
26,4,0.21,Adam Rippon_S26,Adam Rippon_S26,fan_rank_vs_judge_rank
27,1,0.9,Juan Pablo Di Pace_S27,DeMarcus Ware_S27,fan_rank_vs_judge_rank
27,2,0.94,John Schneider_S27,Mary Lou Retton_S27,fan_rank_vs_judge_rank
27,3,0.97,Bobby Bones_S27,Evanna Lynch_S27,fan_rank_vs_judge_rank
27,4,0.92,DeMarcus Ware_S27,Tinashe_S27,fan_rank_vs_judge_rank
27,5,0.89,Milo Manheim_S27,Juan Pablo Di Pace_S27,fan_rank_vs_judge_rank
27,6,0.96,John Schneider_S27,Juan Pablo Di Pace_S27,fan_rank_vs_judge_rank
27,7,0.9,Joe Amabile_S27,Evanna Lynch_S27,fan_rank_vs_judge_rank
27,8,0.87,Alexis Ren_S27,Alexis Ren_S27,fan_rank_vs_judge_rank
27,9,0.86,Bobby Bones_S27,Milo Manheim_S27,fan_rank_vs_judge_rank
28,1,0.9,Kel Mitchell_S28,Sailor Brinkley-Cook_S28,fan_rank_vs_judge_rank
28,2,0.93,Mary Wilson_S28,Sean Spicer_S28,fan_rank_vs_judge_rank
28,3,0.88,James Van Der Beek_S28,Kate Flannery_S28,fan_rank_vs_judge_rank
28,4,0.89,Kate Flannery_S28,Ally Brooke_S28,fan_rank_vs_judge_rank
28,5,0.93,Lauren Alaina_S28,Hannah Brown_S28,fan_rank_vs_judge_rank
28,6,0.93,Hannah Brown_S28,Lauren Alaina_S28,fan_rank_vs_judge_rank
