season,week,n_contestants,n_simulations,ODP,Stability_A_contestant,Stability_A_prob,Stability_B_contestant,Stability_B_prob,Unique_Eliminated_A,Unique_Eliminated_B
30,6,10,1000,0.0,Kenya Moore_S30,1.0,Kenya Moore_S30,1.0,1,1
30,7,9,1000,0.0,"Mike ""The Miz"" Mizanin_S30",1.0,"Mike ""The Miz"" Mizanin_S30",1.0,1,1
30,8,8,1000,0.037,Jimmie Allen_S30,0.963,Jimmie Allen_S30,1.0,3,1
30,9,6,1000,0.0,Cody Rigsby_S30,1.0,Cody Rigsby_S30,1.0,1,1
30,10,4,1000,1.0,Amanda Kloots_S30,1.0,Cody Rigsby_S30,1.0,1,1
31,1,16,1000,1.0,Jason Lewis_S31,1.0,Vinny Guadagnino_S31,1.0,1,1
31,2,15,1000,0.974,Teresa Giudice_S31,0.974,Cheryl Ladd_S31,1.0,2,1
31,3,14,1000,1.0,Cheryl Ladd_S31,1.0,Vinny Guadagnino_S31,1.0,1,1
31,4,13,1000,0.0,Sam Champion_S31,1.0,Sam Champion_S31,1.0,1,1
31,5,12,1000,0.987,Joseph Baena_S31,0.941,Vinny Guadagnino_S31,1.0,3,1
31,6,10,1000,1.0,Jessie James Decker_S31,1.0,Vinny Guadagnino_S31,1.0,1,1
31,7,9,1000,0.998,Jordin Sparks_S31,0.998,Vinny Guadagnino_S31,1.0,2,1
31,8,8,1000,0.047,Vinny Guadagnino_S31,0.953,Vinny Guadagnino_S31,1.0,5,1
31,9,6,1000,0.29,Trevor Donovan_S31,0.71,Trevor Donovan_S31,1.0,4,1
31,10,4,1000,0.0,Shangela_S31,1.0,Shangela_S31,1.0,1,1
32,1,14,1000,0.0,Matt Walsh_S32,1.0,Matt Walsh_S32,1.0,1,1
32,2,13,1000,0.956,Jamie Lynn Spears_S32,0.948,Mauricio Umansky_S32,1.0,4,1
32,3,12,1000,0.0,Tyson Beckford_S32,1.0,Tyson Beckford_S32,1.0,1,1
32,4,11,1000,0.707,Adrian Peterson_S32,0.654,Barry Williams_S32,0.649,4,2
32,5,10,1000,0.943,Mira Sorvino_S32,0.925,Harry Jowsey_S32,1.0,3,1
32,6,9,1000,0.932,Mauricio Umansky_S32,0.889,Harry Jowsey_S32,1.0,4,1
32,7,8,1000,0.507,Harry Jowsey_S32,0.493,Harry Jowsey_S32,1.0,6,1
32,8,7,1000,0.894,Barry Williams_S32,0.894,Harry Jowsey_S32,1.0,2,1
32,9,6,1000,0.009,Harry Jowsey_S32,0.991,Harry Jowsey_S32,1.0,3,1
32,10,5,1000,0.3,Alyson Hannigan_S32,0.7,Alyson Hannigan_S32,1.0,4,1
32,11,5,1000,0.012,Alyson Hannigan_S32,0.988,Alyson Hannigan_S32,1.0,2,1
33,1,13,1000,0.661,Anna Delvey_S33,0.343,Eric Roberts_S33,1.0,4,1
33,2,13,1000,1.0,Anna Delvey_S33,1.0,Eric Roberts_S33,0.586,1,2
33,3,11,1000,0.0,Reginald VelJohnson_S33,1.0,Reginald VelJohnson_S33,1.0,1,1
33,4,9,1000,0.732,Brooks Nader_S33,0.732,Dwight Howard _S33,1.0,2,1
33,5,8,1000,0.0,Phaedra Parks_S33,1.0,Phaedra Parks_S33,1.0,1,1
33,6,7,1000,0.577,Jenn Tran_S33,0.528,Ilona Maher_S33,1.0,4,1
33,7,6,1000,0.042,Dwight Howard _S33,0.958,Dwight Howard _S33,1.0,4,1
33,8,5,1000,0.51,Stephen Nedoroscik_S33,0.49,Stephen Nedoroscik_S33,1.0,4,1
33,9,5,1000,0.002,Danny Amendola_S33,0.998,Danny Amendola_S33,1.0,2,1
34,1,14,1000,0.004,Andy Richter_S34,0.956,Andy Richter_S34,0.959,5,2
34,2,14,1000,0.386,Corey Feldman_S34,0.614,Corey Feldman_S34,1.0,6,1
34,3,12,1000,0.0,Lauren Jauregui_S34,1.0,Lauren Jauregui_S34,1.0,1,1
34,4,11,1000,0.457,Andy Richter_S34,0.543,Andy Richter_S34,1.0,4,1
34,5,10,1000,0.005,Andy Richter_S34,0.995,Andy Richter_S34,1.0,4,1
34,6,10,1000,0.595,Scott Hoying_S34,0.595,Andy Richter_S34,1.0,2,1
34,7,9,1000,0.38,Andy Richter_S34,0.62,Andy Richter_S34,1.0,3,1
34,8,8,1000,0.883,Danielle Fishel_S34,0.883,Andy Richter_S34,1.0,2,1
34,9,7,1000,0.003,Andy Richter_S34,0.997,Andy Richter_S34,1.0,4,1
34,10,6,1000,0.228,Dylan Efron_S34,0.772,Dylan Efron_S34,1.0,4,1
34,11,5,1000,0.997,Dylan Efron_S34,0.997,Elaine Hendrix_S34,1.0,2,1
